Leclerc: 5.79zł, Gdańsk, Obrońców Wybrzeża 1
Auchan: 5.93zł, Rumia, Grunwaldzka 108
Auchan: 5.94zł, Gdańsk, Szczęśliwa 3
Pod Żaglami: 5.96zł, Gdynia, Nowowiczlińska 31
PKN Orlen: 5.99zł, Gdańsk, gen. Henryka Dąbrowskiego 4
Pod Żaglami: 6.04zł, Gdynia, Małokacka 13
Circle K: 6.12zł, Gdynia, al. Zwycięstwa 132
Stacja benzynowa F. Stenka: 5.96zł, Gdańsk, Kartuska 330
MOYA Gdynia: 5.96zł, Gdynia, Nowowiczlińska 2
PKN Orlen: 5.96zł, Gdynia, Morska 495
Shell: 5.99zł, Gdynia, Chwaszczyńska 10
Shell: 6.06zł, Gdańsk, al. Rzeczypospolitej 6A
PKN Orlen: 5.99zł, Gdańsk, Trakt Świętego Wojciecha 43/45
