MOYA Gdynia: 6.5zł, Gdynia, Morska 116A
Baltic-Trade: 6.51zł, Gdynia, Hutnicza 36
MOYA Gdynia: 6.51zł, Gdynia, Nowowiczlińska 2
Baltic-Trade: 6.51zł, Gdynia, al. Solidarności 2
Baltic-Trade: 6.51zł, Gdańsk, Rzęsna 3
Pod Żaglami: 6.56zł, Gdynia, Małokacka 13
PKN Orlen: 6.56zł, Gdańsk, Trakt Świętego Wojciecha 43/45
PKN Orlen: 6.56zł, Gdańsk, Kołobrzeska 28
LOTOS: 6.58zł, Gdańsk, al. gen. Józefa Hallera 136
Pod Żaglami: 6.59zł, Gdynia, Sportowa 8
Shell: 6.62zł, Gdańsk, Trakt Świętego Wojciecha 223
Shell: 6.62zł, Gdynia, Chylońska 110A
Shell: 6.66zł, Gdynia, Hutnicza 35
Auchan: 6.68zł, Gdańsk, Szczęśliwa 3
Carrefour: 6.68zł, Gdańsk, Franciszka Schuberta 102A
Leclerc: 6.69zł, Gdańsk, Obrońców Wybrzeża 1
Auchan: 6.73zł, Rumia, Grunwaldzka 108
Stacja benzynowa F. Stenka: 6.8zł, Gdańsk, Kartuska 330
Auto-Darex. PHU: 6.84zł, Gdynia, Hutnicza 1
BP: 6.86zł, Gdańsk, Juliusza Słowackiego 80
PKN Orlen: 6.86zł, Gdańsk, Gronostajowa 1
Shell: 6.86zł, Gdańsk, al. Rzeczypospolitej 8
Shell: 6.86zł, Gdynia, Chwaszczyńska 10
PKN Orlen: 6.86zł, Gdańsk, Miałki Szlak 14
PKN Orlen: 6.86zł, Gdańsk, Świętokrzyska 2
PKN Orlen: 6.86zł, Gdynia, Śląska 45
LOTOS: 6.89zł, Gdańsk, Odyseusza 18
LOTOS Optima: 6.89zł, Gdańsk, Kartuska 383
LOTOS: 6.89zł, Gdańsk, Spacerowa 50
LOTOS Optima: 6.89zł, Gdańsk, Astronomów 20
Circle K Express: 6.95zł, Gdańsk, Warszawska 17
Circle K: 6.99zł, Gdynia, adm. Józefa Unruga 3
Circle K: 6.99zł, Sopot, al. Niepodległości 627/635
Shell: 6.99zł, Gdynia, Janka Wiśniewskiego 13
Circle K: 6.99zł, Gdańsk, Marynarki Polskiej 93
Circle K: 7.18zł, Straszyn, Starogardzka 99
Amic Energy: 7.16zł, Gdańsk, Złota Karczma 26
BP: 7.16zł, Gdańsk, Juliusza Słowackiego 187
BP: 7.19zł, Gdańsk, Trakt Świętego Wojciecha 1
BP: 7.14zł, Gdynia, Hutnicza 15A
LOTOS: 7.49zł, Gdańsk, Elbląska 87
PKN Orlen: 7.46zł, Gdańsk, al. Grunwaldzka 341
LOTOS: 7.4zł, Gdynia, al. Jana Pawła II 3
LOTOS Optima: 7.49zł, Gdańsk, Trakt Świętego Wojciecha 115-117
PKN Orlen: 7.18zł, Gdańsk, Juliusza Słowackiego 198
PKN Orlen: 7.49zł, Rumia, Dąbrowskiego 74
