MOYA Gdańsk: 6.59zł, Gdańsk, Elbląska 98C
Baltic-Trade: 6.59zł, Gdynia, al. Solidarności 2
Baltic-Trade: 6.59zł, Gdańsk, Rzęsna 3
Baltic-Trade: 6.59zł, Gdynia, Hutnicza 36
Auchan: 6.61zł, Gdańsk, Szczęśliwa 3
Auto-Darex. PHU: 6.62zł, Gdynia, Hutnicza 1
Pod Żaglami: 6.62zł, Gdynia, Małokacka 13
Leclerc: 6.62zł, Gdańsk, Obrońców Wybrzeża 1
Circle K Express: 6.62zł, Gdańsk, Warszawska 17
MOYA Gdynia: 6.62zł, Gdynia, Nowowiczlińska 2
Pod Żaglami: 6.62zł, Gdynia, Nowowiczlińska 31
Stacja paliw OKTAN: 6.62zł, Gdańsk, Spacerowa 60
Carrefour: 6.62zł, Gdańsk, Franciszka Schuberta 102A
LOTOS: 6.64zł, Gdańsk, al. Jana Pawła II
Amic Energy: 6.64zł, Gdańsk, Złota Karczma 26
PKN Orlen: 6.64zł, Gdańsk, Gronostajowa 1
LOTOS: 6.64zł, Gdańsk, mjr. Henryka Sucharskiego 4
LOTOS: 6.64zł, Gdańsk, al. Zwycięstwa 13
MOYA Gdańsk - Szadółki: 6.64zł, Gdańsk, Lubowidzka 41
LOTOS Optima: 6.64zł, Gdańsk, Astronomów 20
BP: 6.64zł, Sopot, al. Niepodległości 664/670
Circle K: 6.64zł, Sopot, al. Niepodległości 627/635
PKN Orlen: 6.64zł, Gdańsk, Kołobrzeska 28
Amic Energy: 6.64zł, Gdańsk, Juliusza Słowackiego 134
Amic Energy: 6.64zł, Gdynia, Wielkopolska 260
LOTOS: 6.64zł, Gdańsk, Cienista 14C
Shell: 6.64zł, Gdańsk, Nowolipie 2
Stacja benzynowa F. Stenka: 6.64zł, Gdańsk, Kartuska 330
Circle K: 6.64zł, Gdynia, al. Zwycięstwa 132
PKN Orlen: 6.64zł, Gdynia, Wielkopolska 239
PKN Orlen: 6.64zł, Gdańsk, gen. Henryka Dąbrowskiego 4
PKN Orlen: 6.65zł, Gdynia, Śląska 45
LOTOS: 6.65zł, Gdynia, Janka Wiśniewskiego 20A
BP: 6.67zł, Gdańsk, al. Wincentego Witosa
Shell: 6.69zł, Gdańsk, al. Rzeczypospolitej 8
MOYA Gdynia: 6.77zł, Gdynia, Morska 116A
Shell: 6.79zł, Gdynia, Chylońska 110A
F.H.U. Przemysław Ners: 3.79zł, Gdańsk, Kołobrzeska 30
PKN Orlen: 7.41zł, Gdańsk, Budowlanych 61
Stacja benzynowa F. Stenka: 3.89zł, Gdańsk, Nowatorów 124
BP: 7.31zł, Gdańsk, Lubczykowa 2
Shell: 7.28zł, Gdańsk, Łostowicka 4
Shell: 3.99zł, Gdynia, Janka Wiśniewskiego 13
BP: 7.41zł, Gdańsk, Juliusza Słowackiego 80
