Baltic-Trade: 6.51zł, Gdynia, Hutnicza 36
Amic Energy: 6.52zł, Gdańsk, Juliusza Słowackiego 134
Auto-Darex. PHU: 6.57zł, Gdynia, Hutnicza 1
Leclerc: 6.57zł, Gdańsk, Obrońców Wybrzeża 1
Baltic-Trade: 6.59zł, Gdańsk, Rzęsna 3
Baltic-Trade: 6.59zł, Gdynia, al. Solidarności 2
LOTOS Optima: 6.59zł, Gdańsk, Astronomów 20
Auchan: 6.59zł, Gdańsk, Szczęśliwa 3
Circle K: 6.59zł, Gdynia, al. Zwycięstwa 132
Carrefour: 6.62zł, Gdańsk, Franciszka Schuberta 102A
MOYA Gdańsk - Szadółki: 6.62zł, Gdańsk, Lubowidzka 41
BP: 6.64zł, Gdańsk, Franciszka Rakoczego 15
Shell: 7.31zł, Sopot, al. Niepodległości 897
PKN Orlen: 7.29zł, Gdańsk, al. Grunwaldzka 258
