PKN Orlen: 6.2zł, Gdańsk, Juliusza Słowackiego 198
PKN Orlen: 6.27zł, Wejherowo, Gdańska 103
MOYA Gdańsk: 6.27zł, Gdańsk, Elbląska 98C
Baltic-Trade: 6.29zł, Gdynia, al. Solidarności 2
Amic Energy: 6.29zł, Gdańsk, Złota Karczma 26
Baltic-Trade: 6.29zł, Gdańsk, Rzęsna 3
Baltic-Trade: 6.29zł, Gdynia, Hutnicza 36
BP: 6.3zł, Gdańsk, Juliusza Słowackiego 187
PKN Orlen: 6.3zł, Gdańsk, Miałki Szlak 14
PKN Orlen: 6.3zł, Gdańsk, Budowlanych 61
Carrefour: 6.31zł, Gdańsk, Franciszka Schuberta 102A
Shell: 6.33zł, Gdańsk, Trakt Świętego Wojciecha 223
Shell: 6.33zł, Gdynia, Janka Wiśniewskiego 13
Shell: 6.33zł, Gdańsk, al. Grunwaldzka 560
LOTOS: 6.33zł, Gdynia, Janka Wiśniewskiego 20A
LOTOS: 6.34zł, Gdańsk, Sadowa 3 (Dolne Miasto)
LOTOS: 6.34zł, Gdańsk, al. gen. Józefa Hallera 136
Auchan: 6.35zł, Rumia, Grunwaldzka 108
Circle K Express: 6.42zł, Gdańsk, Warszawska 17
