Auchan: 6.73zł, Rumia, Grunwaldzka 108
Baltic-Trade: 6.89zł, Gdynia, Hutnicza 36
Baltic-Trade: 6.89zł, Gdańsk, Rzęsna 3
Baltic-Trade: 6.89zł, Gdynia, al. Solidarności 2
BMG Stacja paliw: 6.96zł, Gdynia, Łużycka 9
MOYA Gdynia: 6.97zł, Gdynia, Hutnicza 5
Auto-Darex. PHU: 6.97zł, Gdynia, Hutnicza 1
BP: 6.99zł, Gdańsk, Trakt Świętego Wojciecha 1
PKN Orlen: 6.99zł, Gdańsk, al. Grunwaldzka 258
BP: 6.99zł, Gdańsk, Juliusza Słowackiego 187
PKN Orlen Stacja Paliw: 6.99zł, Gdańsk, Lecha Kaczyńskiego 16
MOYA Gdańsk: 6.99zł, Gdańsk, Elbląska 98C
PKN Orlen: 6.99zł, Gdynia, Wielkopolska 239
PKN Orlen: 6.99zł, Gdańsk, al. Grunwaldzka 341
Stacja benzynowa F. Stenka: 6.99zł, Gdańsk, Kartuska 330
Amic Energy: 6.99zł, Gdynia, Wielkopolska 260
Shell: 6.99zł, Gdańsk, Świętokrzyska 1
Shell: 6.99zł, Gdańsk, al. Rzeczypospolitej 8
PKN Orlen: 6.99zł, Gdańsk, Świętokrzyska 2
Auchan: 7.03zł, Gdańsk, Szczęśliwa 3
Leclerc: 7.04zł, Gdańsk, Obrońców Wybrzeża 1
LOTOS: 7.05zł, Gdańsk, Małomiejska 31
LOTOS Optima: 7.05zł, Gdańsk, Trakt Świętego Wojciecha 115-117
LOTOS: 7.05zł, Gdynia, Kontenerowa 2
Circle K Express: 7.05zł, Gdańsk, Warszawska 17
BP: 7.06zł, Gdańsk, Franciszka Rakoczego 15
BP - Stacja paliw: 7.09zł, Pruszcz Gdański, Jana Kasprowicza 1
Shell: 7.09zł, Gdynia, Chwaszczyńska 10
LOTOS: 7.09zł, Gdańsk, Odyseusza 18
LOTOS: 7.09zł, Gdańsk, Elbląska 87
LOTOS: 7.09zł, Gdynia, Janka Wiśniewskiego 20A
LOTOS: 7.09zł, Gdańsk, al. Jana Pawła II
Circle K: 7.09zł, Gdynia, adm. Józefa Unruga 3
Stacja BP: 7.09zł, Gdańsk, Jabłoniowa 51
Shell: 7.1zł, Gdańsk, Trakt Świętego Wojciecha 223
Circle K: 7.13zł, Gdańsk, Marynarki Polskiej 93
BP: 7.99zł, Gdańsk, Lubczykowa 2
LOTOS: 7.82zł, Reda, Wejherowska 3
MOYA Reda: 7.77zł, Reda, Gdańska 67a
Stacja benzynowa F. Stenka: 8.29zł, Kowale, Ateny 2
Shell: 7.99zł, Gdańsk, Marynarki Polskiej 98A
Shell: 7.99zł, Gdynia, Szlifierzy 1
LOTOS: 7.99zł, Gdańsk, Kołobrzeska 41
LOTOS: 7.96zł, Gdynia, al. Jana Pawła II 3
Shell: 8.09zł, Gdańsk, płk. Jana Pałubickiego 12
F.H.U. Przemysław Ners: 3.58zł, Gdańsk, Kołobrzeska 30
